State,Link
Agra,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[1]/a/div"
Ahmedabad,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[2]/a/div"
Ajmer,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[3]/a/div"
Alappuzha,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[4]/a/div"
Allahabad,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[5]/a/div"
Amravati,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[6]/a/div"
Amritsar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[7]/a/div"
Aurangabad,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[8]/a/div"
Bengaluru,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[9]/a/div"
Bhopal,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[10]/a/div"
Bhubaneswar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[11]/a/div"
Chandigarh,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[12]/a/div"
Chennai,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[13]/a/div"
Coimbatore,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[14]/a/div"
Cuttack,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[15]/a/div"
Darjelling,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[16]/a/div"
Dehradun,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[17]/a/div"
Delhi NCR ,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[18]/a/div"
Dharamshala,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[19]/a/div"
Gangtok,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[20]/a/div"
Goa,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[21]/a/div"
Gorakhpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[22]/a/div"
Guntur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[23]/a/div"
Guwahati,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[24]/a/div"
Gwalior,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[25]/a/div"
Haridwar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[26]/a/div"
Hyderabad,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[27]/a/div"
Indore,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[28]/a/div"
Jabalpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[29]/a/div"
Jaipur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[30]/a/div"
Jalandhar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[31]/a/div"
Jammu,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[32]/a/div"
Jamngarag,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[30]/a/div"
Jamshedpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[34]/a/div"
Jhansi,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[35]/a/div"
Jodhpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[36]/a/div"
Junagadh,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[37]/a/div"
Kanpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[38]/a/div"
Khajuraho,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[39]/a/div"
Khamgaon,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[40]/a/div"
Kharagpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[41]/a/div"
Kochi,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[42]/a/div"
Kolhapur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[43]/a/div"
Kolkata,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[44]/a/div"
Kota,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[45]/a/div"
Lucknow,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[46]/a/div"
Ludhiana,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[47]/a/div"
Madhurai,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[48]/a/div"
Manali,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[49]/a/div"
Mangalore,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[50]/a/div"
Manipal,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[51]/a/div"
Meerut,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[52]/a/div"
Mumbai,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[53]/a/div"
Mussorie,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[54]/a/div"
Mysore,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[55]/a/div"
Nagpur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[56]/a/div"
Nainital,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[57]/a/div"
Nashik,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[58]/a/div"
Neemrana,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[59]/a/div"
Ooty,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[60]/a/div"
Palakkad,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[61]/a/div"
Patiala,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[62]/a/div"
Patna,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[63]/a/div"
Puducherry,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[64]/a/div"
Pune,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[65]/a/div"
Pushkar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[66]/a/div"
Raipur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[67]/a/div"
Rajkot,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[68]/a/div"
Ranchi,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[69]/a/div"
Rishikesh,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[70]/a/div"
Salem,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[71]/a/div"
